Date,SP,Export Meter Advance,Export LLF,Import Meter Advance,Import LLF,TLM,Export Settlement Volume,Import Settlement Volume,SRMC,SRMCe,Availability Flag,DTO Period,APX Hourly,APX HH,SSP,BSUoS Price,AAHEDC Price,GDoUS Price,DUoS Price,Day-ahead Hourly Sell Volume,Day-ahead Hourly Buy Volume,Day-ahead HH Sell Volume,Day-ahead HH Buy Volume,Intraday Sell Volume,Intraday Sell WAP,Intraday Buy Volume,Intraday Buy WAP,Buyback Volume,Buyback WAP,System Price Sell Volume,System Price Buy Volume,BM Offer Volume,BM Offer Price,BM Bid Volume,BM Bid Price,Day-ahead Hourly Revenue,Day-ahead HH Revenue,Intraday Sell Revenue,Intraday Buy Revenue,Buyback Revenue,System Price Revenue,BM Offer Revenue,BM Bid Revenue,Forward Trade Fees,Buyback Fees,Profit Share,DTO Imbalance Volume,DTO Imbalance Revenue,DTO Imbalance Share,Non-delivery,Non DTO Export Volume,Non DTO Import Volume,Non DTO Export Revenue,Non DTO Import Revenue,BSUoS Export,AAHEDC Export,GDUoS,BSUoS Import,AAHEDC Import,DUoS,RO,FIT,CM,CFD,CCL,Total,Export Fixed Charge,Export Capacity Charge,Import Fixed Charge,Import Capacity Charge
01/08/2020,31,0,1.076,0,1.076,1.0250046,0,0,0,0,UNAVAILABLE,FALSE,28.02,25,44,3.20616,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,32,0,1.076,0,1.076,1.0244986,0,0,0,0,UNAVAILABLE,FALSE,28.02,26,20,3.09375,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,33,0,1.076,0,1.076,1.0236804,0,0,0,0,UNAVAILABLE,FALSE,30.38,25.5,10,3.08537,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,34,0,1.076,0,1.076,1.0235875,0,0,0,0,UNAVAILABLE,FALSE,30.38,33.2,45,3.08037,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,35,0,1.076,0,1.076,1.0233597,0,0,0,0,UNAVAILABLE,FALSE,36,31,32.69,2.69237,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,36,0,1.076,0,1.076,1.0232173,0,0,0,0,UNAVAILABLE,FALSE,36,36.4,45.5,2.87657,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,37,0,1.076,0,1.076,1.0222983,0,0,0,0,UNAVAILABLE,FALSE,41.99,41.5,32.78,2.57342,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,38,0,1.076,0,1.076,1.0221449,0,0,0,0,UNAVAILABLE,FALSE,41.99,42,32.96,2.57419,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,39,0,1.076,0,1.076,1.0223255,0,0,0,0,UNAVAILABLE,FALSE,36.83,41.6,29.59,2.62474,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,40,0,1.076,0,1.076,1.0229151,0,0,0,0,UNAVAILABLE,FALSE,36.83,36,32.63,2.84103,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,41,0,1.076,0,1.076,1.0230211,0,0,0,0,UNAVAILABLE,FALSE,35.18,39.8,32.1,2.87044,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,42,0,1.076,0,1.076,1.0234805,0,0,0,0,UNAVAILABLE,FALSE,35.18,32.1,4.55,2.46537,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,43,0,1.076,0,1.076,1.0236738,0,0,0,0,UNAVAILABLE,FALSE,34.56,40.9,21.03,2.54148,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,44,0,1.076,0,1.076,1.023687,0,0,0,0,UNAVAILABLE,FALSE,34.56,36.55,45.5,2.92877,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,45,0,1.076,0,1.076,1.0237945,0,0,0,0,UNAVAILABLE,FALSE,31.25,37,27.23008,2.68641,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,46,0,1.076,0,1.076,1.0243462,0,0,0,0,UNAVAILABLE,FALSE,31.25,30.9,1.05,2.5226,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,47,0,1.076,0,1.076,1.0246829,0,0,0,0,UNAVAILABLE,FALSE,30.07,31.4,25.71,3.24546,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01/08/2020,48,0,1.076,0,1.076,1.0250023,0,0,0,0,UNAVAILABLE,FALSE,30.07,28.4,39,3.89911,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,1,0,1.076,0,1.076,1.025103,0,0,0,0,UNAVAILABLE,FALSE,25.81,30,38.99,4.82118,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,2,0,1.072,0,1.072,1.0247192,0,0,0,0,UNAVAILABLE,FALSE,25.81,21,38.5,4.79146,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,3,0,1.072,0,1.072,1.0253368,0,0,0,0,UNAVAILABLE,FALSE,24.96,26.2,43,4.73198,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,4,0,1.072,0,1.072,1.0257484,0,0,0,0,UNAVAILABLE,FALSE,24.96,24,38.3,4.45966,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,5,0,1.072,0,1.072,1.0261048,0,0,0,0,UNAVAILABLE,FALSE,23.29,27.6,20.53,3.86672,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,6,0,1.072,0,1.072,1.0258535,0,0,0,0,UNAVAILABLE,FALSE,23.29,21.8,38.3,4.17047,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,7,0,1.072,0,1.072,1.0259544,0,0,0,0,UNAVAILABLE,FALSE,23.24,26,42.9,4.7196,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,8,0,1.072,0,1.072,1.0264717,0,0,0,0,UNAVAILABLE,FALSE,23.24,22.2,42,4.29567,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,9,0,1.072,0,1.072,1.0275796,0,0,0,0,UNAVAILABLE,FALSE,23.12,25,20.69013,3.99289,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,10,0,1.072,0,1.072,1.02867,0,0,0,0,UNAVAILABLE,FALSE,23.12,22,20.56,3.82925,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,11,0,1.072,0,1.072,1.0294978,0,0,0,0,UNAVAILABLE,FALSE,21.99,23.9,18.65032,4.07015,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,12,0,1.072,0,1.072,1.0295,0,0,0,0,UNAVAILABLE,FALSE,21.99,22.1,17.83,4.11482,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,13,0,1.072,0,1.072,1.0292187,0,0,0,0,UNAVAILABLE,FALSE,21.33,22,1.05,4.02942,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,14,0,1.072,0,1.072,1.0294843,0,0,0,0,UNAVAILABLE,FALSE,21.33,24,1.05,3.53475,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,15,0,1.072,0,1.072,1.0284951,0,0,0,0,UNAVAILABLE,FALSE,23.56,21,15.52,4.06123,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,16,0,1.076,0,1.076,1.0273483,0,0,0,0,UNAVAILABLE,FALSE,23.56,25.8,38.55,3.90311,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,17,0,1.076,0,1.076,1.024876,0,0,0,0,UNAVAILABLE,FALSE,25.45,21,29.75,3.62149,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,18,0,1.076,0,1.076,1.0246708,0,0,0,0,UNAVAILABLE,FALSE,25.45,26.6,29.48,3.445,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,19,0,1.076,0,1.076,1.0244646,0,0,0,0,UNAVAILABLE,FALSE,25.46,21,22.01,3.3344,0.28105,0.33,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
02/08/2020,20,0,1.076,0,1.076,1.0244154,0,0,0,0,UNAVAILABLE,FALSE,25.46,28,28.12,3.52209,0.28105,5.71,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
